HP Fraction,Window U-Value,Window SHGC,Wall R-Value,Glazing Ratio,Cooling kWh-m2,Heating kWh-m2,DHW kWh-m2,Lighting kWh-m2,TEDI kWh-m2,EUI kWh-m2
0,0.28,0.31,6,0.3,9.837296516,42.6398213,9.9112,18.98729883,38.37583917,123.5995283
0,0.32,0.31,6,0.3,9.592172828,44.15951982,9.9112,18.96628287,39.74356783,124.8125154
0,0.36,0.31,6,0.3,9.4909567,45.58192659,9.9112,18.96628693,41.02373393,126.1296981
0,0.28,0.38,6,0.3,10.76324377,42.25649192,9.9112,18.79192158,38.03084273,124.2108204
0,0.32,0.38,6,0.3,10.59583425,43.71094744,9.9112,18.78414561,39.33985269,125.4715038
0,0.36,0.38,6,0.3,10.48431331,45.1151802,9.9112,18.78414848,40.60366218,126.7589711
0,0.28,0.31,13,0.3,9.723859358,35.68928227,9.9112,18.98729883,32.12035405,116.3897034
0,0.32,0.31,13,0.3,9.450230555,37.13499776,9.9112,18.96628287,33.42149799,117.4842224
0,0.36,0.31,13,0.3,9.38566216,38.49300331,9.9112,18.96628693,34.64370298,118.7836963
0,0.32,0.38,13,0.3,10.49787929,36.73194668,9.9112,18.78414561,33.05875201,118.2398317
0,0.36,0.38,13,0.3,10.42161934,38.061439,9.9112,18.78414848,34.2552951,119.4993361
0,0.28,0.31,20,0.3,9.737148694,33.38437297,9.9112,18.98729883,30.04593568,114.0926657
0,0.32,0.31,20,0.3,9.451091423,34.79204753,9.9112,18.96628287,31.31284278,115.1173406
0,0.36,0.31,20,0.3,9.318083198,36.12405648,9.9112,18.96628693,32.51165084,116.2888411
0,0.28,0.38,20,0.3,10.71167291,33.03012274,9.9112,18.79192158,29.72711046,114.7850645
0,0.32,0.38,20,0.3,10.50030579,34.39217262,9.9112,18.78414561,30.95295535,115.881533
0,0.36,0.38,20,0.3,10.36702489,35.71397296,9.9112,18.78414848,32.14257566,117.0446114
0,0.28,0.31,6,0.35,10.29891102,43.2526064,9.9112,18.88203511,38.92734576,124.7226886
0,0.32,0.31,6,0.35,10.01424434,45.01928731,9.9112,18.86038011,40.51735858,126.1365651
0,0.36,0.31,6,0.35,9.892651455,46.6726248,9.9112,18.86038475,42.00536232,127.6671321
0,0.28,0.38,6,0.35,11.38070164,42.77875567,9.9112,18.69594647,38.5008801,125.4463702
0,0.36,0.38,6,0.35,11.04860375,46.12555229,9.9112,18.68838434,41.51299706,128.4304585
0,0.28,0.31,13,0.35,10.19773005,36.779387,9.9112,18.88203511,33.1014483,118.0052578
0,0.32,0.31,13,0.35,9.940393538,38.44782251,9.9112,18.86038011,34.60304026,119.3552592
0,0.36,0.31,13,0.35,9.801094868,40.04213348,9.9112,18.86038475,36.03792013,120.797726
0,0.28,0.38,13,0.35,11.32123464,36.35696095,9.9112,18.69594647,32.72126485,118.8326842
0,0.32,0.38,13,0.35,11.15173823,37.97836462,9.9112,18.68838109,34.18052816,120.2628603
0,0.36,0.38,13,0.35,10.99778702,39.56504614,9.9112,18.68838434,35.60854152,121.6813186
0,0.28,0.31,20,0.35,10.20379812,34.60326987,9.9112,18.88203511,31.14294288,115.8150029
0,0.32,0.31,20,0.35,9.876443615,36.26532934,9.9112,18.86038011,32.63879641,117.0549957
0,0.36,0.31,20,0.35,9.78704083,37.82028161,9.9112,18.86038475,34.03825345,118.5210294
0,0.28,0.38,20,0.35,11.33701238,34.19703808,9.9112,18.69594647,30.77733427,116.669674
0,0.32,0.38,20,0.35,11.10668201,35.8052642,9.9112,18.68838109,32.22473778,117.9968767
0,0.36,0.38,20,0.35,10.99989805,37.35587841,9.9112,18.68838434,33.62029057,119.4383085
0,0.28,0.31,6,0.4,10.75416442,43.86761215,9.9112,18.79365308,39.48085094,125.8549603
0,0.32,0.31,6,0.4,10.42566883,45.88497163,9.9112,18.77217437,41.29647447,127.4726506
0,0.36,0.31,6,0.4,10.28696604,47.77233052,9.9112,18.77217848,42.99509747,129.2215337
0,0.28,0.38,6,0.4,11.98845493,43.35449781,9.9112,18.61939636,39.01904803,126.7443686
0,0.32,0.38,6,0.4,11.76049781,45.27333004,9.9112,18.61202254,40.74599704,128.4051768
0,0.36,0.38,6,0.4,11.60294879,47.13649213,9.9112,18.61202541,42.42284292,130.1072389
0,0.28,0.31,13,0.4,10.71503661,37.85719602,9.9112,18.79365308,34.07147642,119.6870516
0,0.32,0.31,13,0.4,10.36271701,39.79436773,9.9112,18.77217437,35.81493095,121.1894072
0,0.36,0.31,13,0.4,10.20386814,41.61951307,9.9112,18.77217848,37.45756176,122.8435553
0,0.28,0.38,13,0.4,11.99261464,37.40100417,9.9112,18.61939636,33.66090376,120.6889071
0,0.32,0.38,13,0.4,11.73874918,39.25589274,9.9112,18.61202254,35.33030347,122.2448387
0,0.36,0.38,13,0.4,11.56237296,41.04547171,9.9112,18.61202541,36.94092454,123.8452176
0,0.28,0.31,20,0.4,10.66506726,35.86093105,9.9112,18.79365308,32.27483795,117.5946473
0,0.32,0.31,20,0.4,10.35685996,37.75185631,9.9112,18.77217437,33.97667068,119.1055439
0,0.36,0.31,20,0.4,10.19358951,39.54600697,9.9112,18.77217848,35.59140627,120.7213987
0,0.28,0.38,20,0.4,11.96357112,35.40839071,9.9112,18.61939636,31.86755164,118.6275508
0,0.32,0.38,20,0.4,11.74842773,37.2297629,9.9112,18.61202254,33.50678661,120.1989489
0,0.36,0.38,20,0.4,11.56633548,38.99957956,9.9112,18.61202541,35.0996216,121.7664898
0,0.28,0.31,6,0.45,11.20938182,44.44491314,9.9112,18.72136364,40.00042183,126.963179
0,0.32,0.31,6,0.45,10.83754092,46.72058773,9.9112,18.70034433,42.04852896,128.7930951
0,0.36,0.31,6,0.45,10.68076319,48.86265805,9.9112,18.70034808,43.97639224,130.7812669
0,0.28,0.38,6,0.45,12.59111204,43.92533455,9.9112,18.55704791,39.53280109,128.044086
0,0.32,0.38,6,0.45,12.3305526,46.09021523,9.9112,18.54975092,41.48119371,129.9184255
0,0.36,0.38,6,0.45,12.15163529,48.18394714,9.9112,18.54975373,43.36555242,131.8309518
0,0.28,0.31,13,0.45,11.18146576,38.94552359,9.9112,18.72136364,35.05097123,121.3269572
0,0.32,0.31,13,0.45,10.78307891,41.13906353,9.9112,18.70034433,37.02515718,123.0361546
0,0.36,0.31,13,0.45,10.60697022,43.20536685,9.9112,18.70034808,38.88483016,124.9147416
0,0.28,0.38,13,0.45,12.60268356,38.46292485,9.9112,18.55704791,34.61663237,122.4924589
0,0.32,0.38,13,0.45,12.32034089,40.54841709,9.9112,18.54975092,36.49357538,124.2528786
0,0.36,0.38,13,0.45,12.12226533,42.56485172,9.9112,18.54975373,38.30836655,126.0568556
0,0.28,0.31,20,0.45,11.18426697,37.0900272,9.9112,18.72136364,33.38102448,119.446339
0,0.32,0.31,20,0.45,10.77791534,39.25429041,9.9112,18.70034433,35.32886137,121.1108834
0,0.36,0.31,20,0.45,10.59351768,41.29788073,9.9112,18.70034808,37.16809266,122.9572297
0,0.28,0.38,20,0.45,12.57616539,36.62600717,9.9112,18.55704759,32.96340645,120.5878003
0,0.32,0.38,20,0.45,12.32974375,38.68507773,9.9112,18.54975092,34.81656996,122.367535
0,0.36,0.38,20,0.45,12.12594279,40.68013037,9.9112,18.54975373,36.61211734,124.1413367
0,0.28,0.31,6,0.5,11.6653283,45.06798054,9.9112,18.65798912,40.56118248,128.1294629
0,0.32,0.31,6,0.5,11.24636449,47.57484167,9.9112,18.63721111,42.8173575,130.1392267
0,0.36,0.31,6,0.5,11.06993734,49.92771348,9.9112,18.6372148,44.93494213,132.3187691
0,0.28,0.38,6,0.5,13.18816106,44.49733455,9.9112,18.5029531,40.04760109,129.3454145
0,0.32,0.38,6,0.5,12.89562799,46.906962,9.9112,18.49578372,42.2162658,131.4307533
0,0.36,0.38,6,0.5,12.69560179,49.22197152,9.9112,18.49578646,44.29977437,133.5446148
0,0.28,0.31,13,0.5,11.6418586,40.05300529,9.9112,18.65798912,36.04770476,122.9885494
0,0.32,0.31,13,0.5,11.20021939,42.46619069,9.9112,18.63721111,38.21957162,124.8690154
0,0.36,0.31,13,0.5,11.00826403,44.75247735,9.9112,18.6372148,40.27722961,126.9532157
0,0.28,0.38,13,0.5,13.21144932,39.51891296,9.9112,18.5029531,35.56702166,124.2985075
0,0.32,0.38,13,0.5,12.89343437,41.84948893,9.9112,18.49578372,37.66454004,126.2669373
0,0.36,0.38,13,0.5,12.67748258,44.09115625,9.9112,18.49578646,39.68204062,128.2805699
0,0.28,0.31,20,0.5,11.64630504,38.36421215,9.9112,18.65798912,34.52779093,121.2758535
0,0.32,0.31,20,0.5,11.19757242,40.75109082,9.9112,18.63721111,36.67598174,123.1204815
0,0.36,0.31,20,0.5,10.99540072,43.0045806,9.9112,18.6372148,38.70412254,125.1561545
0,0.28,0.38,20,0.5,13.23139517,37.82855195,9.9112,18.5029531,34.04569675,122.6074462
0,0.32,0.38,20,0.5,12.90502331,40.1423609,9.9112,18.49578372,36.12812481,124.5409304
0,0.36,0.38,20,0.5,12.67917188,42.37346227,9.9112,18.49578646,38.13611604,126.5294828
0,0.28,0.31,6,0.55,12.11142485,45.69386696,9.9112,18.60065745,41.12448027,129.2903841
0,0.32,0.31,6,0.55,11.64954817,48.44769607,9.9112,18.58017277,43.60292646,131.502053
0,0.36,0.31,6,0.55,11.4524519,51.02128628,9.9112,18.5801761,45.91915765,133.8814437
0,0.28,0.38,6,0.55,13.77983671,45.07446615,9.9112,18.45514891,40.56701954,130.6508641
0,0.32,0.38,6,0.55,13.44883195,47.71651267,9.9112,18.44815152,42.9448614,132.928586
0,0.36,0.38,6,0.55,13.22676274,50.25195099,9.9112,18.44815389,45.22675589,135.2413219
0,0.28,0.31,13,0.55,12.09704883,41.16895028,9.9112,18.60065745,37.05205525,124.6586709
0,0.32,0.31,13,0.55,11.6155184,43.82767011,9.9112,18.58017277,39.4449031,126.7411563
0,0.36,0.31,13,0.55,11.40136469,46.35315569,9.9112,18.5801761,41.71784012,129.0439827
0,0.28,0.38,13,0.55,13.8080473,40.59509831,9.9112,18.45514891,36.53558848,126.1159021
0,0.32,0.38,13,0.55,13.45924385,43.14734724,9.9112,18.44815152,38.83261252,128.2745606
0,0.36,0.38,13,0.55,13.21782891,45.62573816,9.9112,18.44815389,41.06316434,130.5008242
0,0.28,0.31,20,0.55,12.10252966,39.63211013,9.9112,18.60065745,35.66889912,123.0993656
0,0.32,0.31,20,0.55,11.60998484,42.2717904,9.9112,18.58017277,38.04461136,125.149036
0,0.36,0.31,20,0.55,11.393758,44.76523973,9.9112,18.5801761,40.28871576,127.4143589
0,0.28,0.38,20,0.55,13.82773527,39.06621465,9.9112,18.45514891,35.15959319,124.5858464
0,0.32,0.38,20,0.55,13.47001026,41.61321957,9.9112,18.44815152,37.45189761,126.7224379
0,0.36,0.38,20,0.55,13.22179527,44.06088432,9.9112,18.44815389,39.65479589,128.9077414
0,0.28,0.31,6,0.6,12.55600968,46.32088843,9.9112,18.55102132,41.68879958,130.4591045
0,0.32,0.31,6,0.6,12.05280613,49.31173005,9.9112,18.53086965,44.38055705,132.8614796
0,0.36,0.31,6,0.6,11.83499881,52.10689429,9.9112,18.53087275,46.89620486,135.444297
0,0.28,0.38,6,0.6,14.36271479,45.65194723,9.9112,18.41430453,41.0867525,131.9524678
0,0.32,0.38,6,0.6,13.99892537,48.52542651,9.9112,18.4073957,43.67288386,134.4262015
0,0.36,0.38,6,0.6,13.75442034,51.27826246,9.9112,18.40739782,46.15043622,136.9363302
0,0.28,0.31,13,0.6,12.54894094,42.29128185,9.9112,18.55102132,38.06215366,126.3385779
0,0.32,0.31,13,0.6,12.02633538,45.18928746,9.9112,18.53086965,40.67035871,128.6157951
0,0.36,0.31,13,0.6,11.79195865,47.95840282,9.9112,18.53087275,43.16256253,131.1468114
0,0.28,0.38,13,0.6,14.39550886,41.66942643,9.9112,18.41430453,37.50248379,127.9252761
0,0.32,0.38,13,0.6,14.01698291,44.44303535,9.9112,18.4073957,39.99873182,130.2761018
0,0.36,0.38,13,0.6,13.75067602,47.17743038,9.9112,18.40739782,42.45968734,132.7345416
0,0.28,0.31,20,0.6,12.55480133,40.9260955,9.9112,18.55102132,36.83348595,124.9538253
0,0.32,0.31,20,0.6,12.02210119,43.8006237,9.9112,18.53086965,39.42056133,127.1960072
0,0.36,0.31,20,0.6,11.78357996,46.54277632,9.9112,18.53087275,41.88849869,129.6901686
0,0.28,0.38,20,0.6,14.41513076,40.30976541,9.9112,18.41430453,36.27878887,126.5654667
0,0.32,0.38,20,0.6,14.02648838,43.07284388,9.9112,18.4073957,38.76555949,128.8898491
0,0.36,0.38,20,0.6,13.75720417,45.77923212,9.9112,18.40739782,41.20130891,131.3141709
0,0.28,0.31,6,0.65,12.99353473,46.95882724,9.9112,18.50753204,42.26294452,131.6349224
0,0.32,0.31,6,0.65,12.44772626,50.17359184,9.9112,18.48778994,45.15623265,134.2158126
0,0.36,0.31,6,0.65,12.21075752,53.1927742,9.9112,18.48779474,47.87349678,137.005225
0,0.28,0.38,6,0.65,14.93725991,46.19941625,9.9112,18.37852134,41.57947462,133.2153621
0,0.32,0.38,6,0.65,14.54214205,49.31036597,9.9112,18.37165807,44.37932937,135.8971108
0,0.36,0.38,6,0.65,14.27044482,52.31148065,9.9112,18.37166147,47.08033258,138.6287579
0,0.28,0.31,13,0.65,12.99303446,43.4114679,9.9112,18.50753204,39.07032111,128.0138305
0,0.32,0.31,13,0.65,12.42766825,46.57257019,9.9112,18.48778994,41.91531317,130.5095528
0,0.36,0.31,13,0.65,12.17752262,49.56369066,9.9112,18.48779474,44.6073216,133.2487576
0,0.28,0.38,13,0.65,14.97637194,42.68225678,9.9112,18.37852134,38.4140311,129.6714026
0,0.32,0.38,13,0.65,14.55803246,45.74428049,9.9112,18.37165807,41.16985244,132.2687954
0,0.36,0.38,13,0.65,14.27258651,48.71630269,9.9112,18.37166147,43.84467242,134.9496716
0,0.28,0.31,20,0.65,12.99663021,42.2121901,9.9112,18.50753204,37.99097109,126.7949832
0,0.32,0.31,20,0.65,12.42590325,45.33439573,9.9112,18.48778994,40.80095616,129.2423996
0,0.36,0.31,20,0.65,12.16915728,48.32777182,9.9112,18.48779474,43.49499464,131.9756713
0,0.28,0.38,20,0.65,14.99360295,41.49448879,9.9112,18.37852134,37.34503991,128.4807693
0,0.32,0.38,20,0.65,14.57010155,44.53002034,9.9112,18.37165807,40.0770183,131.0429668
0,0.36,0.38,20,0.65,14.2787114,47.47881824,9.9112,18.37166147,42.73093642,133.6914206
0.2,0.28,0.31,6,0.3,9.837296516,36.67024632,8.523632,18.98729883,38.37583917,116.2423853
0.2,0.32,0.31,6,0.3,9.592172828,37.97718704,8.523632,18.96628287,39.74356783,117.2426146
0.2,0.36,0.31,6,0.3,9.4909567,39.20045687,8.523632,18.96628693,41.02373393,118.3606603
0.2,0.28,0.38,6,0.3,10.76324377,36.34058305,8.523632,18.79192158,38.03084273,116.9073436
0.2,0.32,0.38,6,0.3,10.59583425,37.5914148,8.523632,18.78414561,39.33985269,117.9644032
0.2,0.36,0.38,6,0.3,10.48431331,38.79905497,8.523632,18.78414848,40.60366218,119.0552779
0.2,0.28,0.31,13,0.3,9.723859358,30.69278276,8.523632,18.98729883,32.12035405,110.0056359
0.2,0.32,0.31,13,0.3,9.450230555,31.93609807,8.523632,18.96628287,33.42149799,110.8977547
0.2,0.36,0.31,13,0.3,9.38566216,33.10398284,8.523632,18.96628693,34.64370298,112.0071079
0.2,0.32,0.38,13,0.3,10.49787929,31.58947415,8.523632,18.78414561,33.05875201,111.7097911
0.2,0.36,0.38,13,0.3,10.42161934,32.73283754,8.523632,18.78414848,34.2552951,112.7831666
0.2,0.28,0.31,20,0.3,9.737148694,28.71056076,8.523632,18.98729883,30.04593568,108.0312855
0.2,0.32,0.31,20,0.3,9.451091423,29.92116088,8.523632,18.96628287,31.31284278,108.8588859
0.2,0.36,0.31,20,0.3,9.318083198,31.06668858,8.523632,18.96628693,32.51165084,109.8439052
0.2,0.28,0.38,20,0.3,10.71167291,28.40590555,8.523632,18.79192158,29.72711046,108.7732793
0.2,0.32,0.38,20,0.3,10.50030579,29.57726845,8.523632,18.78414561,30.95295535,109.6790609
0.2,0.36,0.38,20,0.3,10.36702489,30.71401674,8.523632,18.78414848,32.14257566,110.6570872
0.2,0.28,0.31,6,0.35,10.29891102,37.1972415,8.523632,18.88203511,38.92734576,117.2797557
0.2,0.32,0.31,6,0.35,10.01424434,38.71658709,8.523632,18.86038011,40.51735858,118.4462969
0.2,0.36,0.31,6,0.35,9.892651455,40.13845733,8.523632,18.86038475,42.00536232,119.7453967
0.2,0.28,0.38,6,0.35,11.38070164,36.78972988,8.523632,18.69594647,38.5008801,118.0697764
0.2,0.36,0.38,6,0.35,11.04860375,39.66797497,8.523632,18.68838434,41.51299706,120.5853131
0.2,0.28,0.31,13,0.35,10.19773005,31.63027282,8.523632,18.88203511,33.1014483,111.4685756
0.2,0.32,0.31,13,0.35,9.940393538,33.06512736,8.523632,18.86038011,34.60304026,112.5849961
0.2,0.36,0.31,13,0.35,9.801094868,34.43623479,8.523632,18.86038475,36.03792013,113.8042594
0.2,0.28,0.38,13,0.35,11.32123464,31.26698642,8.523632,18.69594647,32.72126485,112.3551416
0.2,0.32,0.38,13,0.35,11.15173823,32.66139357,8.523632,18.68838109,34.18052816,113.5583212
0.2,0.36,0.38,13,0.35,10.99778702,34.02593968,8.523632,18.68838434,35.60854152,114.7546441
0.2,0.28,0.31,20,0.35,10.20379812,29.75881209,8.523632,18.88203511,31.14294288,109.5829772
0.2,0.32,0.31,20,0.35,9.876443615,31.18818324,8.523632,18.86038011,32.63879641,110.5902816
0.2,0.36,0.31,20,0.35,9.78704083,32.52544218,8.523632,18.86038475,34.03825345,111.838622
0.2,0.28,0.38,20,0.35,11.33701238,29.40945275,8.523632,18.69594647,30.77733427,110.4945206
0.2,0.32,0.38,20,0.35,11.10668201,30.79252721,8.523632,18.68838109,32.22473778,111.5965717
0.2,0.36,0.38,20,0.35,10.99989805,32.12605543,8.523632,18.68838434,33.62029057,112.8209175
0.2,0.28,0.31,6,0.4,10.75416442,37.72614645,8.523632,18.79365308,39.48085094,118.3259266
0.2,0.32,0.31,6,0.4,10.42566883,39.46107561,8.523632,18.77217437,41.29647447,119.6611866
0.2,0.36,0.31,6,0.4,10.28696604,41.08420425,8.523632,18.77217848,42.99509747,121.1458394
0.2,0.28,0.38,6,0.4,11.98845493,37.28486812,8.523632,18.61939636,39.01904803,119.2871709
0.2,0.32,0.38,6,0.4,11.76049781,38.93506383,8.523632,18.61202254,40.74599704,120.6793426
0.2,0.36,0.38,6,0.4,11.60294879,40.53738323,8.523632,18.61202541,42.42284292,122.120562
0.2,0.28,0.31,13,0.4,10.71503661,32.55718858,8.523632,18.79365308,34.07147642,112.9994761
0.2,0.32,0.31,13,0.4,10.36271701,34.22315625,8.523632,18.77217437,35.81493095,114.2306277
0.2,0.36,0.31,13,0.4,10.20386814,35.79278124,8.523632,18.77217848,37.45756176,115.6292555
0.2,0.28,0.38,13,0.4,11.99261464,32.16486359,8.523632,18.61939636,33.66090376,114.0651985
0.2,0.32,0.38,13,0.4,11.73874918,33.76006776,8.523632,18.61202254,35.33030347,115.3614457
0.2,0.36,0.38,13,0.4,11.56237296,35.29910567,8.523632,18.61202541,36.94092454,116.7112835
0.2,0.28,0.31,20,0.4,10.66506726,30.8404007,8.523632,18.79365308,32.27483795,111.186549
0.2,0.32,0.31,20,0.4,10.35685996,32.46659642,8.523632,18.77217437,33.97667068,112.432716
0.2,0.36,0.31,20,0.4,10.19358951,34.009566,8.523632,18.77217848,35.59140627,113.7973897
0.2,0.28,0.38,20,0.4,11.96357112,30.45121601,8.523632,18.61939636,31.86755164,112.2828081
0.2,0.32,0.38,20,0.4,11.74842773,32.0175961,8.523632,18.61202254,33.50678661,113.5992141
0.2,0.36,0.38,20,0.4,11.56633548,33.53963842,8.523632,18.61202541,35.0996216,114.9189807
0.2,0.28,0.31,6,0.45,11.20938182,38.2226253,8.523632,18.72136364,40.00042183,119.3533231
0.2,0.32,0.31,6,0.45,10.83754092,40.17970545,8.523632,18.70034433,42.04852896,120.8646448
0.2,0.36,0.31,6,0.45,10.68076319,42.02188592,8.523632,18.70034808,43.97639224,122.5529268
0.2,0.28,0.38,6,0.45,12.59111204,37.77578771,8.523632,18.55704791,39.53280109,120.5069712
0.2,0.32,0.38,6,0.45,12.3305526,39.6375851,8.523632,18.54975092,41.48119371,122.0782274
0.2,0.36,0.38,6,0.45,12.15163529,41.43819454,8.523632,18.54975373,43.36555242,123.6976312
0.2,0.28,0.31,13,0.45,11.18146576,33.49315029,8.523632,18.72136364,35.05097123,114.4870159
0.2,0.32,0.31,13,0.45,10.78307891,35.37959464,8.523632,18.70034433,37.02515718,115.8891177
0.2,0.36,0.31,13,0.45,10.60697022,37.15661549,8.523632,18.70034808,38.88483016,117.4784222
0.2,0.28,0.38,13,0.45,12.60268356,33.07811537,8.523632,18.55704791,34.61663237,115.7200814
0.2,0.32,0.38,13,0.45,12.32034089,34.8716387,8.523632,18.54975092,36.49357538,117.1885322
0.2,0.36,0.38,13,0.45,12.12226533,36.60577248,8.523632,18.54975373,38.30836655,118.7102084
0.2,0.28,0.31,20,0.45,11.18426697,31.89742339,8.523632,18.72136364,33.38102448,112.8661672
0.2,0.32,0.31,20,0.45,10.77791534,33.75868975,8.523632,18.70034433,35.32886137,114.2277147
0.2,0.36,0.31,20,0.45,10.59351768,35.51617743,8.523632,18.70034808,37.16809266,115.7879584
0.2,0.28,0.38,20,0.45,12.57616539,31.49836617,8.523632,18.55704759,32.96340645,114.0725913
0.2,0.32,0.38,20,0.45,12.32974375,33.26916685,8.523632,18.54975092,34.81656996,115.5640562
0.2,0.36,0.38,20,0.45,12.12594279,34.98491212,8.523632,18.54975373,36.61211734,117.0585505
0.2,0.28,0.31,6,0.5,11.6653283,38.75846326,8.523632,18.65798912,40.56118248,120.4323776
0.2,0.32,0.31,6,0.5,11.24636449,40.91436384,8.523632,18.63721111,42.8173575,122.0911808
0.2,0.36,0.31,6,0.5,11.06993734,42.93783359,8.523632,18.6372148,44.93494213,123.9413212
